Conservation Feature,TaxonKey,CommonName,Target,Amount Held,Occurrence Target ,Occurrences Held,Separation Target ,Separation Achieved,Target Met,MPM
11,600503,Yellowtail rockfish,11115024.9,6486175.561,0,133,0,0,no,0.58355
12,600509,Lingcod,10736070.6,4506650.762,0,166,0,0,no,0.419767
26,604140,Cabezon,24081508.2,16763958.6,0,219,0,0,no,0.696134
34,690064,Butter clam,14336199,8101288.754,0,258,0,0,no,0.565093
37,690279,Olympia oyster,33607760.4,12669985.04,0,172,0,0,no,0.376996
42,690287,Red rock crab,30735700.5,9416967.37,0,231,0,0,no,0.306385
45,690615,Sidestriped shrimp,3478007.4,734591.74,0,17,0,0,no,0.211211
49,690664,Pacific gaper,40277651.4,29648812.6,0,207,0,0,no,0.736111
53,700005,Yelloweye rockfish,23245275,7257531.316,0,71,0,0,no,0.312215
56,700008,Yellowmouth rockfish,21457086.9,19258033.33,0,211,0,0,no,0.897514
60,700012,Copper rockfish,18869625.6,16751399.78,0,174,0,0,no,0.887744
69,700021,Rock scallop,158079647.4,23432641.59,0,210,0,0,no,0.148233
73,700026,Cutthroat trout,36819295.2,24307469.28,0,181,0,0,no,0.660183
77,700031,Pile perch,34543341.3,27848947.62,0,226,0,0,no,0.806203
78,700032,Kelp perch,32018574.3,23110936.06,0,230,0,0,no,0.721798
84,700038,Thornback sculpin,40170612.3,8032812.797,0,211,0,0,no,0.199967
87,700041,Black chiton,13569880.2,11682513.13,0,184,0,0,no,0.860915
92,700046,Acorn barnacle,3385582.8,0,0,0,0,0,no,0
98,700055,Spiny dogfish,2537722.2,0,0,0,0,0,no,0
1,600142,Albacore tuna,35809.2,8455301.506,0,214,0,0,yes,1
2,600239,Steelhead,3508686.9,17128879.11,0,227,0,0,yes,1
3,600240,Pink salmon,2325452.7,16557663.97,0,230,0,0,yes,1
4,600241,Chum salmon,2828120.1,13159470.23,0,228,0,0,yes,1
5,600243,Sockeye salmon,1798893.3,19208119.78,0,227,0,0,yes,1
6,600244,Chinook salmon,3685839.6,36796534.39,0,232,0,0,yes,1
7,600245,Coho salmon,3125329.5,13995175.74,0,234,0,0,yes,1
8,600256,Eulachon,8668863,164799897.5,0,229,0,0,yes,1
9,600308,Pacific cod,1833907.8,62263896.46,0,232,0,0,yes,1
10,600502,Widow rockfish,33719193.6,57745430.57,0,232,0,0,yes,1
13,600512,Sablefish,1240842.9,50371314.81,0,228,0,0,yes,1
14,600514,Pacific halibut,755115.6,14758925.11,0,222,0,0,yes,1
15,600517,Arrowtooth flounder,12829959.9,26139136.69,0,207,0,0,yes,1
16,600519,Flathead sole,3165927.9,30116233.87,0,232,0,0,yes,1
17,600520,Yellowfin sole,3536182.5,44172786.58,0,220,0,0,yes,1
18,601520,Pacific herring,5811911.1,50881387.57,0,197,0,0,yes,1
19,601879,Pacific tomcod,10942517.7,58704438.47,0,120,0,0,yes,1
20,602594,White sturgeon,12460884.6,42761870.44,0,226,0,0,yes,1
21,603971,Chilipepper rockfish,14084936.4,41209140.17,0,232,0,0,yes,1
22,603979,Black rockfish,8728735.2,45494579.26,0,241,0,0,yes,1
23,603987,Bocaccio rockfish,7157203.2,7209447.808,0,240,0,0,yes,1
24,603989,Canary rockfish,7492646.4,114704469.3,0,185,0,0,yes,1
25,604009,Shortspine thornyhead,2117435.7,17360453.89,0,198,0,0,yes,1
27,604215,Pacific sanddab,2181712.5,9451289.061,0,241,0,0,yes,1
28,604237,Petrale sole,2293175.7,10639819.44,0,233,0,0,yes,1
29,604238,Rex sole,2416188.3,48541203.14,0,217,0,0,yes,1
